类型,标题
学术活动,河南省细胞生物学学会2023年度学术年会在我校召开
学术活动,出版社召开2024年度选题论证会
学术活动,河南省教育学会比较教育专业委员会第五届会员代表大会在我校举办
学术活动,黄河流域生态保护和高质量发展高层论坛（2023）在我校举办
校园人事活动与领导调研,季波到物理与电子学院调研指导工作
学术活动,首届河南省高校企业竞争模拟大赛在我校举行
学术活动,我校获评“河南省首批新时代依法治校示范校”
学术活动,“党的好儿女”中国红色经典民族歌剧片段河南高校巡演在我校举办
学术活动,我校召开本科教育教学审核评估工作报告会
学术活动,我校获批国家社科基金冷门绝学及教育部中华优秀传统文化专项重大课题
学术活动,河南大学2023年“棉花发育与逆境调控”学术研讨会召开
校园管理与活动,我校获得省教科文卫体工会系统示范性劳模和工匠人才创新工作室、优秀工匠人才、“师带徒”标兵等多项荣誉
校园管理与活动,华为ICT人才联盟双选会河南站暨校企对接座谈会在我校举办
校园管理与活动,我校召开2024年度征兵工作会
校园管理与活动,我校举行“雪莉杯”英语口译大赛
校园管理与活动,我校举办2023年河南大学大学生职业规划大赛决赛
校园管理与活动,我校召开防范应对低温雨雪冰冻灾害工作会
校园管理与活动,我校举办2023第十届中国产业经济研究学术年会
校园管理与活动,我校在第二届全省高校统战工作创新典型案例评选中喜获佳绩
校园管理与活动,我校召开目标管理工作推进座谈会
校园管理与活动,我校与美国伊利诺伊理工大学举行视频会议
校园管理与活动,第五届中国高等院校动画高峰论坛在我校举办 
校园人事活动与领导调研,季波到教育学部调研
校园人事活动与领导调研,崔大祥到基础医学院调研指导工作
校园人事活动与领导调研,河南省科协党组书记王新会一行来校调研
校园人事活动与领导调研,乔梁到郑州龙子湖校区在建工地检查安全生产工作
校园人事活动与领导调研,我校召开中国史学科中期建设推进会
社会服务与合作,中原发展研究院联合举办河南省数字经济产教融合共同体成立大会
社会服务与合作,我校举办2023第十届中国产业经济研究学术年会
社会服务与合作,我校与美国伊利诺伊理工大学举行视频会议
学术活动,张锁江为河南省“万名中小学校长培训计划”第三期全体学员作专题讲座并主持召开学员代表座谈会
学术活动,省教育厅“大听课、大调研”第一调研组深入河南大学开展听课调研活动
学术活动,我校召开河南大学文科高质量发展“三大计划”启动会
学术活动,我校与皇家马德里研究生院召开视频会议
学术活动,第二十五届中国机器人及人工智能大赛总结表彰大会在我校召开
校园人事活动与领导调研,苗雨晨带队检查校园安全工作
校园管理与活动,方婷一行来校调研
校园管理与活动,张锁江到济源、洛阳调研
校园管理与活动,我校举办“当好主人翁 建功新时代——为河南大学‘双一流’建设贡献工会力量”主题演讲比赛
校园管理与活动,我校团组参加首届世界中文大会系列活动并获颁“中文联盟数字化教育金牌合作机构”奖牌
校园管理与活动,薪火传承三十载，继往开来谱华章——河南大学文化旅游学院办学30周年暨创新发展大会举行
校园人事活动与领导调研,乔梁到化学与分子科学学院开展实验室安全检查
校园管理与活动,我校学子在第六届全国大学生网络编辑创新大赛中荣获一等奖
校园管理与活动,我校学子在首届中国大学生桑搏锦标赛斩获5金
校园管理与活动,我校被评为省级理论宣讲示范基地
校园管理与活动,亳州市“招才引智高校行”河南大学专场活动举行
校园管理与活动,南昌市2023年新能源产业链人才专场招聘活动在我校举行
校园管理与活动,孙君健到京东智谷访企拓岗、调研交流
校园管理与活动,我校学子在“外教社杯”全国高校学生跨文化能力大赛中勇创佳绩
校园管理与活动,我校举行2023年秋季运动会
校园管理与活动,我校代表队喜获第十二届全国大学生GIS应用技能大赛特等奖
校园管理与活动,孙君健带队赴天津开展访企拓岗活动
校园管理与活动,卢克平到龙子湖校区开展校园安全检查
校园管理与活动,机关党委举行支部书记座谈会
校园人事活动与领导调研,季波为我校“双带头人”教师党支部书记培训班学员讲授“开班第一课”
校园管理与活动,我校举办第二期“至善”书记沙龙
校园人事活动与领导调研,开封市人大常委会主任方婷一行来校调研
校园人事活动与领导调研,崔大祥到护理与健康学院调研指导工作
校园人事活动与领导调研,季波、张向东带队赴厦门高校调研交流
社会服务与合作,我校举办第二期“至善”书记沙龙
社会服务与合作,民进河南省委会调研组来校开展“参政议政工作高校大走访”活动
社会服务与合作,我校获批3项河南省教育系统党建创新项目
社会服务与合作,孙君健带队赴天津开展访企拓岗活动
学术活动,我校学子在2023年第九届全国大学生物理实验竞赛（创新类）中取得佳绩
学术活动,我校召开2024年度国家自然科学基金申报动员会
学术活动,我校举办碳中和交叉研究与应用论坛
学术活动,《静音沉璧》新书发布暨座谈会在我校举行
学术活动,傅声雷一行随教育部代表团访问西班牙和卡塔尔
社会服务与合作,我校举行“中兴商鼎”奖学金颁奖仪式
学术活动,学校召开人才政策征求意见会暨人才工作推进会
学术活动,我校举办辅导员素质能力大赛
学术活动,我校学子斩获全国大学生配音艺术节多项荣誉
社会服务与合作,“中—吉双边国际中文教育研讨会”在我校举办
学术活动,河南省高校区域与国别研究联盟成立仪式暨第一次会议在我校召开
学术活动,王立群教授受邀走进华南理工大学作讲座
学术活动,开封市与河南大学市校合作科研成果转化工作推进会召开
学术活动,我校在河南省教育厅关工委举办的2023年度“读懂中国”活动中再创佳绩
学术活动,赓续传统  追忆风范——刘增杰、刘思谦先生学术思想研讨会在我校召开
学术活动,校长张锁江院士主编的《离子液体百科全书》荣膺Springer Nature“中国新发展奖”
学术活动,我校学子在世界武术锦标赛勇夺三金
校园人事活动与领导调研,张锁江深入图书馆调研
学术活动,我校青年马克思主义者培养工程第十五期培训班暨团校第三十一期新生团支书培训班开班仪式举行
学术活动,信阳师范大学党委副书记龚立新一行来校调研座谈
学术活动,开封市市长李湘豫来校现场办公
校园人事活动与领导调研,苗雨晨到外语学院调研
学术活动,河南大学大学生职业生涯体验周活动开幕
学术活动,校党委理论学习中心组举行专题学习会
社会服务与合作,2023国际产学研用合作会议低碳/零碳能源科技革命分会场暨中原博士论坛在我校召开
社会服务与合作,我校举办第七届“铁塔金秋国际文化艺术节”
学术活动,我校化学系1982级校友常俊标教授当选中国科学院院士
学术活动,河南省委统战部副部长曾垂瑞一行来校调研
校园人事活动与领导调研,卢克平调研医学类博士学位授权点建设和申报工作
学术活动,我校教师在2023年全省教学技能竞赛中再创佳绩
学术活动,第十五届“黄河学”高层论坛暨黄河文明与国家治理学术研讨会举行
学术活动,我校举行信阳生态研究院暨大别山国家站“大别山生态+论坛”
学术活动,我校在河南省职工围棋比赛中获得佳绩
学术活动,我校举办健康科普知识巡讲活动启动仪式
学术活动,我校获中国博士后科学基金第74批面上资助数量位居全国第13位
学术活动,我校承办的IEEE信号处理、通信和计算国际会议 (ICSPCC 2023)在郑州举行
社会服务与合作,崔大祥到淮河医院调研指导工作
